Date,Price,Open,High,Low,Vol.,Change %
14-Jul-17,2459.27,2449.16,2463.54,2446.69,-,0.47%
13-Jul-17,2447.83,2444.99,2449.32,2441.69,-,0.19%
12-Jul-17,2443.25,2435.75,2445.76,2435.75,-,0.73%
11-Jul-17,2425.53,2427.35,2429.30,2412.79,-,-0.08%
10-Jul-17,2427.43,2424.51,2432.00,2422.27,-,0.09%
7-Jul-17,2425.18,2413.52,2426.92,2413.52,-,0.64%
6-Jul-17,2409.75,2423.44,2424.28,2407.70,-,-0.94%
5-Jul-17,2432.54,2430.78,2434.90,2422.05,-,0.15%
3-Jul-17,2429.01,2431.39,2439.17,2428.69,-,0.23%
30-Jun-17,2423.41,2429.20,2432.71,2421.65,-,0.15%
29-Jun-17,2419.70,2442.38,2442.73,2405.70,-,-0.86%
28-Jun-17,2440.69,2428.70,2442.97,2428.02,-,0.88%
27-Jun-17,2419.38,2436.34,2440.15,2419.38,-,-0.81%
26-Jun-17,2439.07,2443.32,2450.42,2437.03,-,0.03%
23-Jun-17,2438.30,2434.65,2441.40,2431.11,-,0.16%
22-Jun-17,2434.50,2437.40,2441.62,2433.27,-,-0.05%
21-Jun-17,2435.61,2439.31,2442.23,2430.74,-,-0.06%
20-Jun-17,2437.03,2450.66,2450.66,2436.60,-,-0.67%
19-Jun-17,2453.46,2442.55,2453.82,2441.79,-,0.83%
16-Jun-17,2433.15,2431.24,2433.15,2422.88,-,0.03%
15-Jun-17,2432.46,2424.14,2433.95,2418.53,-,-0.22%
14-Jun-17,2437.92,2443.75,2443.75,2428.34,-,-0.10%
13-Jun-17,2440.35,2434.15,2441.49,2431.28,-,0.45%
12-Jun-17,2429.39,2425.88,2430.38,2419.97,-,-0.10%
9-Jun-17,2431.77,2436.39,2446.20,2415.70,-,-0.08%
8-Jun-17,2433.79,2434.27,2439.27,2427.94,-,0.03%
7-Jun-17,2433.14,2432.03,2435.28,2424.75,-,0.16%
6-Jun-17,2429.33,2431.92,2436.21,2428.12,-,-0.28%
5-Jun-17,2436.10,2437.83,2439.55,2434.32,-,-0.12%
2-Jun-17,2439.07,2431.28,2440.23,2427.71,-,0.37%
1-Jun-17,2430.06,2415.65,2430.06,2413.54,-,0.76%
31-May-17,2411.80,2415.63,2415.99,2403.59,-,-0.05%
30-May-17,2412.91,2411.67,2415.26,2409.43,-,-0.12%
26-May-17,2415.82,2414.50,2416.68,2412.20,-,0.03%
25-May-17,2415.07,2409.54,2418.71,2408.01,-,0.44%
24-May-17,2404.39,2401.41,2405.58,2397.99,-,0.25%
23-May-17,2398.42,2397.04,2400.85,2393.88,-,0.18%
22-May-17,2394.02,2387.21,2395.46,2386.92,-,0.52%
19-May-17,2381.73,2371.37,2389.06,2370.43,-,0.68%
18-May-17,2365.72,2354.69,2375.74,2352.72,-,0.37%
17-May-17,2357.03,2382.95,2384.87,2356.21,-,-1.82%
16-May-17,2400.67,2404.55,2405.77,2396.05,-,-0.07%
15-May-17,2402.32,2393.98,2404.05,2393.94,-,0.48%
12-May-17,2390.90,2392.44,2392.44,2387.19,-,-0.15%
11-May-17,2394.44,2394.84,2395.72,2381.74,-,-0.22%
10-May-17,2399.63,2396.79,2399.74,2392.79,-,0.11%
9-May-17,2396.92,2401.58,2403.87,2392.44,-,-0.10%
8-May-17,2399.38,2399.94,2401.36,2393.92,-,0.00%
5-May-17,2399.29,2392.37,2399.29,2389.38,-,0.41%
4-May-17,2389.52,2389.79,2391.43,2380.35,-,0.06%
3-May-17,2388.13,2386.50,2389.82,2379.75,-,-0.13%
2-May-17,2391.17,2391.05,2392.93,2385.82,-,0.12%
1-May-17,2388.33,2388.50,2394.49,2384.83,-,0.17%
28-Apr-17,2384.20,2393.68,2393.68,2382.36,-,-0.19%
27-Apr-17,2388.77,2389.70,2392.10,2382.68,-,0.06%
26-Apr-17,2387.45,2388.98,2398.16,2386.76,-,-0.05%
25-Apr-17,2388.61,2381.51,2392.48,2381.15,-,0.61%
24-Apr-17,2374.15,2370.33,2376.98,2369.19,-,1.08%
21-Apr-17,2348.69,2354.74,2356.18,2344.51,-,-0.30%
20-Apr-17,2355.84,2342.69,2361.37,2340.91,-,0.76%
19-Apr-17,2338.17,2346.79,2352.63,2335.05,-,-0.17%
18-Apr-17,2342.19,2342.53,2348.35,2334.54,-,-0.29%
17-Apr-17,2349.01,2332.62,2349.14,2332.51,-,0.86%
13-Apr-17,2328.95,2341.98,2348.26,2328.95,-,-0.68%
12-Apr-17,2344.93,2352.15,2352.72,2341.18,-,-0.38%
11-Apr-17,2353.78,2353.92,2355.22,2337.25,-,-0.14%
10-Apr-17,2357.16,2357.16,2366.37,2351.50,-,0.07%
7-Apr-17,2355.54,2356.59,2363.76,2350.74,-,-0.08%
6-Apr-17,2357.49,2353.79,2364.16,2348.90,-,0.19%
5-Apr-17,2352.95,2366.59,2378.36,2350.52,-,-0.31%
4-Apr-17,2360.16,2354.76,2360.53,2350.72,-,0.06%
3-Apr-17,2358.84,2362.34,2365.87,2344.73,-,-0.16%
31-Mar-17,2362.72,2364.82,2370.35,2362.60,-,-0.23%
30-Mar-17,2368.06,2361.31,2370.42,2358.58,-,0.29%
29-Mar-17,2361.13,2356.54,2363.36,2352.94,-,0.11%
28-Mar-17,2358.57,2339.79,2363.78,2337.63,-,0.73%
27-Mar-17,2341.59,2329.11,2344.90,2322.25,-,-0.10%
24-Mar-17,2343.98,2350.42,2356.22,2335.74,-,-0.08%
23-Mar-17,2345.96,2345.97,2358.92,2342.13,-,-0.11%
22-Mar-17,2348.45,2343.00,2351.81,2336.45,-,0.19%
21-Mar-17,2344.02,2379.32,2381.93,2341.90,-,-1.24%
20-Mar-17,2373.47,2378.24,2379.55,2369.66,-,-0.20%
17-Mar-17,2378.25,2383.71,2385.71,2377.64,-,-0.13%
16-Mar-17,2381.38,2387.71,2388.10,2377.18,-,-0.16%
15-Mar-17,2385.26,2370.34,2390.01,2368.94,-,0.84%
14-Mar-17,2365.45,2368.55,2368.55,2358.18,-,-0.34%
13-Mar-17,2373.47,2371.56,2374.42,2368.52,-,0.04%
10-Mar-17,2372.60,2372.52,2376.86,2363.04,-,0.33%
9-Mar-17,2364.87,2363.49,2369.08,2354.54,-,0.08%
8-Mar-17,2362.98,2369.81,2373.09,2361.01,-,-0.23%
7-Mar-17,2368.39,2370.74,2375.12,2365.51,-,-0.29%
6-Mar-17,2375.31,2375.23,2378.80,2367.98,-,-0.33%
3-Mar-17,2383.12,2380.92,2383.89,2375.39,-,0.05%
2-Mar-17,2381.92,2394.75,2394.75,2380.17,-,-0.59%
1-Mar-17,2395.96,2380.13,2400.98,2380.13,-,1.37%
28-Feb-17,2363.64,2366.08,2367.79,2358.96,-,-0.26%
27-Feb-17,2369.75,2365.23,2371.54,2361.87,-,0.10%
24-Feb-17,2367.34,2355.73,2367.34,2352.87,-,0.15%
23-Feb-17,2363.81,2367.50,2368.26,2355.09,-,0.04%
22-Feb-17,2362.82,2361.11,2365.13,2358.34,-,-0.11%
21-Feb-17,2365.38,2354.91,2366.71,2354.91,-,0.60%
17-Feb-17,2351.16,2343.01,2351.16,2339.58,-,0.17%
16-Feb-17,2347.22,2349.64,2351.31,2338.87,-,-0.09%
15-Feb-17,2349.25,2335.58,2351.30,2334.81,-,0.50%
14-Feb-17,2337.58,2326.12,2337.58,2322.17,-,0.40%
13-Feb-17,2328.25,2321.72,2331.58,2321.42,-,0.52%
10-Feb-17,2316.10,2312.27,2319.23,2311.10,-,0.36%
9-Feb-17,2307.87,2296.70,2311.08,2296.61,-,0.58%
8-Feb-17,2294.67,2289.55,2295.91,2285.38,-,0.07%
7-Feb-17,2293.08,2295.87,2299.40,2290.16,-,0.02%
6-Feb-17,2292.56,2294.28,2296.18,2288.57,-,-0.21%
3-Feb-17,2297.42,2288.54,2298.31,2287.88,-,0.73%
2-Feb-17,2280.85,2276.69,2283.97,2271.65,-,0.06%
1-Feb-17,2279.55,2285.59,2289.14,2272.44,-,0.03%
31-Jan-17,2278.87,2274.02,2279.09,2267.21,-,-0.09%
30-Jan-17,2280.90,2286.01,2286.01,2268.04,-,-0.60%
27-Jan-17,2294.69,2299.02,2299.02,2291.62,-,-0.09%
26-Jan-17,2296.68,2298.63,2300.99,2294.08,-,-0.07%
25-Jan-17,2298.37,2288.88,2299.55,2288.88,-,0.80%
24-Jan-17,2280.07,2267.88,2284.63,2266.68,-,0.66%
23-Jan-17,2265.20,2267.78,2271.78,2257.02,-,-0.27%
20-Jan-17,2271.31,2269.96,2276.96,2265.01,-,0.34%
19-Jan-17,2263.69,2271.90,2274.33,2258.41,-,-0.36%
18-Jan-17,2271.89,2269.14,2272.01,2263.35,-,0.18%
17-Jan-17,2267.89,2269.14,2272.08,2262.81,-,-0.30%
13-Jan-17,2274.64,2272.74,2278.68,2271.51,-,0.18%
12-Jan-17,2270.44,2271.14,2271.78,2254.25,-,-0.21%
11-Jan-17,2275.32,2268.60,2275.32,2260.83,-,0.28%
10-Jan-17,2268.90,2269.72,2279.27,2265.27,-,0.00%
9-Jan-17,2268.90,2273.59,2275.49,2268.90,-,-0.35%
6-Jan-17,2276.98,2271.14,2282.10,2264.06,-,0.35%
5-Jan-17,2269.00,2268.18,2271.50,2260.45,-,-0.08%
4-Jan-17,2270.75,2261.60,2272.82,2261.60,-,0.57%
3-Jan-17,2257.83,2251.57,2263.88,2245.13,-,0.85%
30-Dec-16,2238.83,2251.61,2253.58,2233.62,-,-0.46%
29-Dec-16,2249.26,2249.50,2254.51,2244.56,-,-0.03%
28-Dec-16,2249.92,2270.23,2271.31,2249.11,-,-0.84%
27-Dec-16,2268.88,2266.23,2273.82,2266.15,-,0.22%
23-Dec-16,2263.79,2260.25,2263.79,2258.84,-,0.13%
22-Dec-16,2260.96,2262.93,2263.18,2256.08,-,-0.19%
21-Dec-16,2265.18,2270.54,2271.23,2265.15,-,-0.25%
20-Dec-16,2270.76,2266.50,2272.56,2266.14,-,0.36%
19-Dec-16,2262.53,2259.24,2267.47,2258.21,-,0.20%
16-Dec-16,2258.07,2266.81,2268.05,2254.24,-,-0.18%
15-Dec-16,2262.03,2253.77,2272.12,2253.77,-,0.39%
14-Dec-16,2253.28,2268.35,2276.20,2248.44,-,-0.81%
13-Dec-16,2271.72,2263.32,2277.53,2263.32,-,0.65%
12-Dec-16,2256.96,2258.83,2264.03,2252.37,-,-0.11%
9-Dec-16,2259.53,2249.73,2259.80,2249.23,-,0.59%
