Date,Open,Close,Volume,Daily_Price_Change,Price_lag1,Vol_lag1,Price_lag2,Vol_lag2,Price_lag3,Vol_lag3,Price_lag4,Vol_lag4,Price_lag5,Vol_lag5
1/3/12,1258.859985,1277.060059,3943710000,0.014457584,-0.004133582,2.86E+12,0.01061814,2.86E+12,-0.012438943,2.96E+12,0.000324132,2.70E+12,0.009035053,2.81E+12
1/4/12,1277.030029,1277.300049,3592580000,0.000211444,0.014457584,5.00E+12,-0.004133582,2.86E+12,0.01061814,2.86E+12,-0.012438943,2.96E+12,0.000324132,2.70E+12
1/5/12,1277.300049,1281.060059,4315950000,0.002943717,0.000211444,4.59E+12,0.014457584,5.00E+12,-0.004133582,2.86E+12,0.01061814,2.86E+12,-0.012438943,2.96E+12
1/6/12,1280.930054,1277.810059,3656830000,-0.002435726,0.002943717,5.52E+12,0.000211444,4.59E+12,0.014457584,5.00E+12,-0.004133582,2.86E+12,0.01061814,2.86E+12
1/9/12,1277.829956,1280.699951,3371600000,0.002245991,-0.002435726,4.68E+12,0.002943717,5.52E+12,0.000211444,4.59E+12,0.014457584,5.00E+12,-0.004133582,2.86E+12
1/10/12,1280.77002,1292.079956,4221960000,0.008830575,0.002245991,4.31E+12,-0.002435726,4.68E+12,0.002943717,5.52E+12,0.000211444,4.59E+12,0.014457584,5.00E+12
1/11/12,1292.02002,1292.47998,3968120000,0.000356001,0.008830575,5.43E+12,0.002245991,4.31E+12,-0.002435726,4.68E+12,0.002943717,5.52E+12,0.000211444,4.59E+12
1/12/12,1292.47998,1295.5,4019890000,0.002336609,0.000356001,5.13E+12,0.008830575,5.43E+12,0.002245991,4.31E+12,-0.002435726,4.68E+12,0.002943717,5.52E+12
1/13/12,1294.819946,1289.089966,3692370000,-0.00442531,0.002336609,5.20E+12,0.000356001,5.13E+12,0.008830575,5.43E+12,0.002245991,4.31E+12,-0.002435726,4.68E+12
1/17/12,1290.219971,1293.670044,4010490000,0.002674019,-0.00442531,4.77E+12,0.002336609,5.20E+12,0.000356001,5.13E+12,0.008830575,5.43E+12,0.002245991,4.31E+12
1/18/12,1293.650024,1308.040039,4096160000,0.011123576,0.002674019,5.18E+12,-0.00442531,4.77E+12,0.002336609,5.20E+12,0.000356001,5.13E+12,0.008830575,5.43E+12
1/19/12,1308.069946,1314.5,4465890000,0.004915681,0.011123576,5.33E+12,0.002674019,5.18E+12,-0.00442531,4.77E+12,0.002336609,5.20E+12,0.000356001,5.13E+12
1/20/12,1314.48999,1315.380005,3912620000,0.00067708,0.004915681,5.86E+12,0.011123576,5.33E+12,0.002674019,5.18E+12,-0.00442531,4.77E+12,0.002336609,5.20E+12
1/23/12,1315.290039,1316,3770910000,0.000539775,0.00067708,5.14E+12,0.004915681,5.86E+12,0.011123576,5.33E+12,0.002674019,5.18E+12,-0.00442531,4.77E+12
1/24/12,1315.959961,1314.650024,3693560000,-0.000995423,0.000539775,4.96E+12,0.00067708,5.14E+12,0.004915681,5.86E+12,0.011123576,5.33E+12,0.002674019,5.18E+12
1/25/12,1314.400024,1326.060059,4410910000,0.008870994,-0.000995423,4.86E+12,0.000539775,4.96E+12,0.00067708,5.14E+12,0.004915681,5.86E+12,0.011123576,5.33E+12
1/26/12,1326.280029,1318.430054,4522070000,-0.005918792,0.008870994,5.82E+12,-0.000995423,4.86E+12,0.000539775,4.96E+12,0.00067708,5.14E+12,0.004915681,5.86E+12
1/27/12,1318.25,1316.329956,4007380000,-0.00145651,-0.005918792,5.98E+12,0.008870994,5.82E+12,-0.000995423,4.86E+12,0.000539775,4.96E+12,0.00067708,5.14E+12
1/30/12,1316.160034,1313.01001,3659010000,-0.002393344,-0.00145651,5.28E+12,-0.005918792,5.98E+12,0.008870994,5.82E+12,-0.000995423,4.86E+12,0.000539775,4.96E+12
1/31/12,1313.530029,1312.410034,4235550000,-0.00085266,-0.002393344,4.81E+12,-0.00145651,5.28E+12,-0.005918792,5.98E+12,0.008870994,5.82E+12,-0.000995423,4.86E+12
2/1/12,1312.449951,1324.089966,4504360000,0.008868921,-0.00085266,5.56E+12,-0.002393344,4.81E+12,-0.00145651,5.28E+12,-0.005918792,5.98E+12,0.008870994,5.82E+12
2/2/12,1324.23999,1325.540039,4120920000,0.000981732,0.008868921,5.94E+12,-0.00085266,5.56E+12,-0.002393344,4.81E+12,-0.00145651,5.28E+12,-0.005918792,5.98E+12
2/3/12,1326.209961,1344.900024,4608550000,0.014092839,0.000981732,5.46E+12,0.008868921,5.94E+12,-0.00085266,5.56E+12,-0.002393344,4.81E+12,-0.00145651,5.28E+12
2/6/12,1344.319946,1344.329956,3379700000,7.45E-06,0.014092839,6.15E+12,0.000981732,5.46E+12,0.008868921,5.94E+12,-0.00085266,5.56E+12,-0.002393344,4.81E+12
2/7/12,1344.329956,1347.050049,3742460000,0.002023382,0.00000745,4.54E+12,0.014092839,6.15E+12,0.000981732,5.46E+12,0.008868921,5.94E+12,-0.00085266,5.56E+12
2/8/12,1347.040039,1349.959961,4096730000,0.002167658,0.002023382,5.04E+12,0.00000745,4.54E+12,0.014092839,6.15E+12,0.000981732,5.46E+12,0.008868921,5.94E+12
2/9/12,1349.969971,1351.949951,4209890000,0.001466684,0.002167658,5.52E+12,0.002023382,5.04E+12,0.00000745,4.54E+12,0.014092839,6.15E+12,0.000981732,5.46E+12
